table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,"308,745,538","308,758,105","309,321,666","311,556,874","313,830,990","315,993,715","318,301,008","320,635,163","322,941,311","324,985,539","326,687,501","328,239,523"
In Metropolitan Statistical Area,"263,096,669","263,107,172","263,659,728","265,915,286","268,257,389","270,477,083","272,833,441","275,213,195","277,549,076","279,600,181","281,282,516","282,828,515"
".Abilene, TX Metro Area","165,252","165,252","165,585","166,634","167,442","167,473","168,342","169,688","170,017","170,429","171,150","172,060"
".Akron, OH Metro Area","703,200","703,196","703,031","703,200","702,109","703,621","704,908","704,382","703,524","703,987","703,855","703,479"
".Albany, GA Metro Area","153,857","154,033","154,145","154,545","153,976","152,667","151,949","150,387","149,137","148,090","147,840","146,726"
".Albany-Lebanon, OR Metro Area","116,672","116,681","116,891","118,164","118,273","118,405","119,042","120,236","122,769","125,035","127,451","129,749"
".Albany-Schenectady-Troy, NY Metro Area","870,716","870,713","871,082","872,778","874,698","877,065","878,113","879,085","879,792","882,158","882,263","880,381"
".Albuquerque, NM Metro Area","887,077","887,063","889,558","898,016","901,939","904,953","904,538","906,026","909,237","912,311","914,947","918,018"
".Alexandria, LA Metro Area","153,922","153,918","154,096","154,402","154,400","154,623","154,558","154,082","154,124","153,549","152,762","152,037"
".Allentown-Bethlehem-Easton, PA-NJ Metro Area","821,173","821,273","821,923","824,930","826,144","825,731","828,470","830,295","833,163","837,921","842,626","844,052"
".Altoona, PA Metro Area","127,089","127,117","127,045","126,970","126,544","125,836","125,274","124,596","123,708","123,147","122,503","121,829"
".Amarillo, TX Metro Area","251,933","251,935","252,664","255,975","257,802","258,896","260,812","261,618","262,987","264,331","264,406","265,053"
".Ames, IA Metro Area","115,848","115,850","115,925","117,424","118,139","120,161","122,092","123,079","123,309","123,721","123,093","123,351"
".Anchorage, AK Metro Area","380,821","380,821","383,053","387,922","391,932","397,022","397,996","398,609","401,368","400,570","397,636","396,317"
".Ann Arbor, MI Metro Area","344,791","345,163","345,717","349,753","352,303","356,040","360,021","362,975","366,135","368,807","369,483","367,601"
".Anniston-Oxford, AL Metro Area","118,572","118,526","118,408","117,744","117,190","116,471","115,917","115,469","114,973","114,710","114,331","113,605"
".Appleton, WI Metro Area","225,666","225,667","225,948","227,548","228,656","229,978","231,627","233,146","234,200","235,811","237,011","237,974"
".Asheville, NC Metro Area","424,858","424,863","425,338","428,113","430,945","435,795","439,661","444,593","450,310","454,855","459,314","462,680"
".Athens-Clarke County, GA Metro Area","192,541","192,567","193,439","194,375","195,984","197,590","198,361","202,565","205,402","209,106","211,468","213,750"
".Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5,286,728","5,286,718","5,302,598","5,366,462","5,444,473","5,510,530","5,593,204","5,686,048","5,787,965","5,872,432","5,945,303","6,020,364"
".Atlantic City-Hammonton, NJ Metro Area","274,549","274,525","274,648","274,621","274,629","274,314","272,578","270,153","267,217","265,498","263,989","263,670"
".Auburn-Opelika, AL Metro Area","140,247","140,287","140,794","144,130","148,567","151,809","154,511","156,954","159,168","161,440","163,656","164,542"
".Augusta-Richmond County, GA-SC Metro Area","564,873","564,893","566,694","570,849","576,206","579,802","583,046","589,574","595,029","600,276","604,221","608,980"
".Austin-Round Rock-Georgetown, TX Metro Area","1,716,289","1,716,323","1,727,502","1,780,535","1,834,586","1,883,315","1,942,467","2,002,134","2,062,016","2,115,475","2,165,497","2,227,083"
".Bakersfield, CA Metro Area","839,631","839,621","840,996","847,970","853,606","862,000","869,176","876,031","880,856","887,356","893,758","900,202"
".Baltimore-Columbia-Towson, MD Metro Area","2,710,489","2,710,598","2,715,738","2,733,785","2,754,637","2,768,233","2,780,055","2,790,053","2,794,111","2,798,707","2,800,743","2,800,053"
".Bangor, ME Metro Area","153,923","153,931","153,861","153,759","153,347","153,222","153,201","151,929","151,333","151,645","151,817","152,148"
".Barnstable Town, MA Metro Area","215,888","215,880","215,899","215,356","214,788","214,518","214,289","213,877","213,559","213,581","213,471","212,990"
".Baton Rouge, LA Metro Area","825,905","825,917","827,629","831,493","836,197","841,986","846,827","851,167","856,723","854,295","854,526","854,884"
".Battle Creek, MI Metro Area","136,146","136,150","135,951","135,105","134,737","134,751","134,804","134,327","134,344","134,180","134,049","134,159"
".Bay City, MI Metro Area","107,771","107,773","107,679","107,417","106,967","106,794","106,046","105,237","104,411","104,045","103,702","103,126"
".Beaumont-Port Arthur, TX Metro Area","388,745","388,749","389,251","390,905","389,614","391,195","391,651","394,825","396,539","398,129","393,815","392,563"
".Beckley, WV Metro Area","124,898","124,914","124,949","125,266","125,110","124,356","123,342","122,070","120,475","118,673","117,154","115,767"
".Bellingham, WA Metro Area","201,140","201,146","201,545","203,490","204,863","206,073","208,154","211,836","216,417","221,410","225,197","229,247"
".Bend, OR Metro Area","157,733","157,728","157,742","159,660","161,359","165,299","169,512","174,246","180,666","186,744","191,905","197,692"
".Billings, MT Metro Area","167,167","167,165","167,571","169,017","170,942","173,367","174,952","176,357","177,759","179,365","180,203","181,667"
".Binghamton, NY Metro Area","251,725","251,724","251,489","250,238","248,945","248,017","247,075","245,283","243,322","241,709","240,366","238,691"
".Birmingham-Hoover, AL Metro Area","1,061,024","1,061,039","1,061,717","1,064,030","1,067,563","1,072,882","1,076,087","1,079,752","1,082,877","1,085,615","1,087,967","1,090,435"
".Bismarck, ND Metro Area","110,625","110,625","111,112","112,865","115,679","119,240","122,155","125,325","127,233","128,115","128,279","128,949"
".Blacksburg-Christiansburg, VA Metro Area","162,958","162,960","163,131","163,442","164,120","165,240","165,688","165,725","166,572","166,605","167,492","167,531"
".Bloomington, IL Metro Area","169,572","169,577","169,810","170,909","172,721","175,037","174,105","173,141","173,070","172,754","172,410","171,517"
".Bloomington, IN Metro Area","159,549","159,535","160,132","161,722","162,852","163,221","164,422","165,073","166,655","167,429","168,092","169,230"
".Bloomsburg-Berwick, PA Metro Area","85,562","85,555","85,657","85,449","85,472","85,592","85,538","84,980","84,390","83,851","83,455","83,194"
".Boise City, ID Metro Area","616,561","616,566","617,866","627,670","637,425","649,224","662,624","674,640","691,285","709,682","728,911","749,202"
".Boston-Cambridge-Newton, MA-NH Metro Area","4,552,402","4,552,595","4,566,348","4,609,790","4,656,593","4,702,877","4,746,931","4,778,340","4,809,061","4,841,772","4,859,536","4,873,019"
"..Boston, MA Metro Division","1,887,792","1,888,025","1,894,717","1,913,107","1,933,463","1,953,625","1,972,382","1,986,314","2,001,862","2,016,866","2,024,799","2,031,884"
"..Cambridge-Newton-Framingham, MA Metro Division","2,246,244","2,246,215","2,253,142","2,276,355","2,300,205","2,324,767","2,346,646","2,362,297","2,374,511","2,388,396","2,396,653","2,400,733"
"..Rockingham County-Strafford County, NH Metro Division","418,366","418,355","418,489","420,328","422,925","424,485","427,903","429,729","432,688","436,510","438,084","440,402"
".Boulder, CO Metro Area","294,567","294,560","295,037","299,957","304,570","309,323","312,233","318,027","321,250","322,441","324,636","326,196"
".Bowling Green, KY Metro Area","158,599","158,613","159,341","160,985","162,450","164,653","166,630","169,507","171,902","174,981","176,864","179,240"
".Bremerton-Silverdale-Port Orchard, WA Metro Area","251,133","251,143","251,681","254,297","254,339","252,401","253,387","259,232","263,142","266,289","269,276","271,473"
".Bridgeport-Stamford-Norwalk, CT Metro Area","916,829","916,904","919,355","928,000","935,099","939,924","944,196","944,943","944,347","943,038","943,971","943,332"
".Brownsville-Harlingen, TX Metro Area","406,220","406,215","407,630","413,201","415,877","417,357","419,005","419,450","421,350","422,227","422,139","423,163"
".Brunswick, GA Metro Area","112,370","112,385","112,534","112,895","113,281","113,781","114,607","115,779","116,571","117,587","118,282","118,779"
".Buffalo-Cheektowaga, NY Metro Area","1,135,509","1,135,614","1,135,627","1,135,562","1,134,619","1,134,974","1,135,060","1,133,002","1,130,232","1,129,882","1,129,777","1,127,983"
".Burlington, NC Metro Area","151,131","151,155","151,431","152,692","153,265","154,162","155,384","157,037","160,283","163,276","166,514","169,509"
".Burlington-South Burlington, VT Metro Area","211,261","211,264","211,538","213,235","213,962","214,827","215,676","217,152","217,447","218,975","219,939","220,411"
".California-Lexington Park, MD Metro Area","105,151","105,144","105,761","107,566","108,800","109,224","109,913","110,985","111,750","112,487","112,720","113,510"
".Canton-Massillon, OH Metro Area","404,422","404,425","404,218","403,331","403,429","403,365","403,675","402,433","401,068","399,327","398,330","397,520"
".Cape Coral-Fort Myers, FL Metro Area","618,754","618,755","620,449","631,053","644,197","659,834","677,232","699,644","722,649","740,000","754,470","770,577"
".Cape Girardeau, MO-IL Metro Area","96,275","96,270","96,447","96,982","97,210","97,177","97,405","97,316","97,109","96,819","96,868","96,765"
".Carbondale-Marion, IL Metro Area","139,157","139,148","139,409","139,956","138,698","140,077","139,658","139,419","138,634","137,352","136,694","135,764"
".Carson City, NV Metro Area","55,274","55,269","54,981","54,676","54,312","53,726","54,082","54,068","54,147","54,532","55,202","55,916"
".Casper, WY Metro Area","75,450","75,448","75,470","76,399","78,565","81,103","81,377","82,137","80,909","79,586","79,175","79,858"
".Cedar Rapids, IA Metro Area","257,940","257,948","258,440","261,028","261,916","262,706","264,300","266,312","268,224","270,653","272,061","273,032"
".Chambersburg-Waynesboro, PA Metro Area","149,618","149,631","149,925","150,934","151,482","151,945","152,607","153,048","153,705","154,376","154,579","155,027"
".Champaign-Urbana, IL Metro Area","217,810","217,806","218,255","219,876","221,131","222,854","224,351","225,732","226,722","226,847","226,284","226,033"
".Charleston, WV Metro Area","278,009","277,985","277,805","276,817","276,704","275,412","273,606","270,858","268,130","264,227","260,280","257,074"
".Charleston-North Charleston, SC Metro Area","664,607","664,645","667,450","681,262","696,839","711,272","726,836","745,185","761,578","775,537","788,122","802,122"
".Charlotte-Concord-Gastonia, NC-SC Metro Area","2,243,960","2,243,963","2,250,121","2,281,230","2,318,671","2,358,660","2,400,483","2,447,898","2,499,697","2,550,373","2,592,950","2,636,883"
".Charlottesville, VA Metro Area","201,559","201,569","201,891","203,617","205,532","206,755","209,187","211,494","213,675","216,104","217,335","218,615"
".Chattanooga, TN-GA Metro Area","528,143","528,126","529,131","533,621","538,103","542,181","544,183","547,205","551,859","555,953","560,832","565,194"
".Cheyenne, WY Metro Area","91,738","91,885","92,236","92,576","94,697","95,707","96,036","96,969","97,887","98,377","98,865","99,500"
".Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9,461,105","9,461,537","9,470,634","9,500,870","9,528,090","9,550,194","9,560,430","9,552,554","9,533,662","9,514,113","9,484,158","9,458,539"
"..Chicago-Naperville-Evanston, IL Metro Division","7,147,982","7,148,308","7,155,089","7,184,041","7,208,884","7,226,632","7,230,949","7,221,509","7,201,332","7,180,002","7,149,580","7,122,725"
"..Elgin, IL Metro Division","735,165","735,288","736,586","740,374","743,280","746,394","751,559","755,833","759,341","762,733","764,786","766,290"
"..Gary, IN Metro Division","708,070","708,117","708,163","707,978","706,627","705,661","705,792","702,691","700,964","700,547","701,279","703,428"
"..Lake County-Kenosha County, IL-WI Metro Division","869,888","869,824","870,796","868,477","869,299","871,507","872,130","872,521","872,025","870,831","868,513","866,096"
".Chico, CA Metro Area","220,000","220,005","219,949","219,975","220,869","221,641","223,516","224,631","226,231","228,696","230,339","219,186"
".Cincinnati, OH-KY-IN Metro Area","2,137,667","2,137,713","2,140,715","2,146,208","2,152,554","2,162,060","2,172,190","2,181,427","2,191,572","2,202,558","2,211,936","2,221,208"
".Clarksville, TN-KY Metro Area","273,949","273,942","274,959","277,405","287,393","285,441","289,628","292,878","293,712","298,635","304,301","307,820"
".Cleveland, TN Metro Area","115,788","115,747","115,896","116,569","117,673","118,410","119,455","120,543","121,184","122,180","123,968","124,942"
".Cleveland-Elyria, OH Metro Area","2,077,240","2,077,277","2,075,478","2,068,989","2,064,776","2,067,100","2,067,356","2,064,012","2,060,997","2,057,238","2,053,795","2,048,449"
".Coeur d'Alene, ID Metro Area","138,494","138,466","138,848","140,932","142,084","143,897","146,529","149,367","153,019","157,320","161,209","165,697"
".College Station-Bryan, TX Metro Area","228,660","228,668","229,458","231,435","234,148","237,816","242,830","250,567","254,391","259,123","261,335","264,728"
".Colorado Springs, CO Metro Area","645,613","645,612","650,500","660,674","669,448","678,565","686,562","697,389","712,335","724,773","737,202","745,791"
".Columbia, MO Metro Area","190,387","190,398","190,947","194,030","196,540","198,824","200,492","202,152","204,049","205,725","206,746","208,173"
".Columbia, SC Metro Area","767,598","767,469","769,646","776,195","783,250","790,842","798,882","809,136","817,188","824,939","831,690","838,433"
".Columbus, GA-AL Metro Area","307,788","308,478","309,476","315,305","322,721","327,844","325,273","322,772","319,040","315,942","318,211","321,048"
".Columbus, IN Metro Area","76,794","76,783","76,818","77,620","79,001","79,655","80,497","81,458","82,231","82,213","82,722","83,779"
".Columbus, OH Metro Area","1,901,974","1,902,008","1,906,366","1,926,338","1,947,208","1,974,061","2,001,635","2,027,568","2,052,192","2,082,581","2,104,194","2,122,271"
".Corpus Christi, TX Metro Area","405,027","405,025","404,676","407,721","413,199","419,080","423,313","427,621","428,953","428,445","428,697","429,024"
".Corvallis, OR Metro Area","85,579","85,581","85,574","86,266","86,678","86,167","87,215","88,333","89,918","91,790","92,442","93,053"
".Crestview-Fort Walton Beach-Destin, FL Metro Area","235,865","235,870","235,932","238,704","246,952","251,881","255,801","260,814","265,492","271,499","277,666","284,809"
".Cumberland, MD-WV Metro Area","103,299","103,272","103,170","102,629","101,833","101,267","100,587","99,879","99,428","98,575","97,894","97,284"
".Dallas-Fort Worth-Arlington, TX Metro Area","6,366,542","6,366,537","6,392,065","6,510,544","6,644,559","6,753,889","6,889,769","7,042,566","7,194,758","7,337,097","7,455,756","7,573,136"
"..Dallas-Plano-Irving, TX Metro Division","4,230,520","4,228,853","4,246,890","4,332,281","4,429,033","4,505,783","4,603,065","4,709,844","4,814,994","4,914,285","4,996,835","5,081,942"
"..Fort Worth-Arlington-Grapevine, TX Metro Division","2,136,022","2,137,684","2,145,175","2,178,263","2,215,526","2,248,106","2,286,704","2,332,722","2,379,764","2,422,812","2,458,921","2,491,194"
".Dalton, GA Metro Area","142,227","142,233","142,278","142,285","142,259","141,906","142,298","143,099","143,753","144,037","144,192","144,724"
".Danville, IL Metro Area","81,625","81,625","81,640","81,414","80,862","80,585","79,783","79,170","78,494","77,689","76,702","75,758"
".Daphne-Fairhope-Foley, AL Metro Area","182,265","182,265","183,112","186,558","190,145","194,885","199,183","202,939","207,601","212,521","217,855","223,234"
".Davenport-Moline-Rock Island, IA-IL Metro Area","379,690","379,681","379,743","380,685","382,431","383,843","384,070","383,381","382,178","381,103","380,044","379,172"
".Dayton-Kettering, OH Metro Area","799,232","799,280","799,672","800,858","801,603","801,390","801,017","800,124","801,661","803,233","805,088","807,611"
".Decatur, AL Metro Area","153,829","153,827","153,950","154,075","153,908","153,146","152,888","152,392","152,233","151,981","152,144","152,603"
".Decatur, IL Metro Area","110,768","110,777","110,787","110,684","110,134","109,561","108,515","107,343","106,383","105,399","104,504","104,009"
".Deltona-Daytona Beach-Ormond Beach, FL Metro Area","590,289","590,288","590,506","591,926","594,969","600,236","608,604","621,166","635,859","647,867","658,186","668,365"
".Denver-Aurora-Lakewood, CO Metro Area","2,543,482","2,543,608","2,554,523","2,602,918","2,650,274","2,700,529","2,753,973","2,812,896","2,856,755","2,891,776","2,931,665","2,967,239"
".Des Moines-West Des Moines, IA Metro Area","606,475","606,474","608,930","618,299","626,778","637,846","649,652","659,522","671,055","681,413","690,915","699,292"
".Detroit-Warren-Dearborn, MI Metro Area","4,296,250","4,296,227","4,291,508","4,291,696","4,300,864","4,305,587","4,311,194","4,309,673","4,316,260","4,321,593","4,322,084","4,319,629"
"..Detroit-Dearborn-Livonia, MI Metro Division","1,820,584","1,820,473","1,815,081","1,803,189","1,795,929","1,780,225","1,771,679","1,764,872","1,760,612","1,757,217","1,754,453","1,749,343"
"..Warren-Troy-Farmington Hills, MI Metro Division","2,475,666","2,475,754","2,476,427","2,488,507","2,504,935","2,525,362","2,539,515","2,544,801","2,555,648","2,564,376","2,567,631","2,570,286"
".Dothan, AL Metro Area","145,639","145,640","145,871","146,621","147,448","147,449","147,830","147,992","147,784","147,878","148,249","149,358"
".Dover, DE Metro Area","162,310","162,350","162,956","165,110","167,297","169,038","171,456","173,128","174,542","176,499","178,540","180,786"
".Dubuque, IA Metro Area","93,653","93,643","93,929","94,593","95,159","95,945","96,481","96,850","96,763","97,066","96,922","97,311"
".Duluth, MN-WI Metro Area","290,637","290,636","290,542","290,594","290,176","290,193","290,261","289,741","289,395","289,108","289,260","288,732"
".Durham-Chapel Hill, NC Metro Area","564,273","564,193","566,267","572,520","581,735","590,364","599,236","607,706","618,222","625,678","637,501","644,367"
".East Stroudsburg, PA Metro Area","169,842","169,841","169,849","169,891","168,628","167,355","167,285","166,481","166,220","167,895","169,294","170,271"
".Eau Claire, WI Metro Area","161,151","161,383","161,655","162,886","163,892","164,822","165,023","165,501","166,430","167,329","168,464","169,304"
".El Centro, CA Metro Area","174,528","174,524","174,716","175,786","176,575","176,438","177,974","178,937","180,179","181,649","181,523","181,215"
".Elizabethtown-Fort Knox, KY Metro Area","148,338","148,331","149,833","151,319","151,501","152,228","151,675","148,107","148,941","150,390","153,201","153,928"
".Elkhart-Goshen, IN Metro Area","197,559","197,569","197,451","198,279","198,968","200,205","201,423","202,995","203,642","204,194","205,617","206,341"
".Elmira, NY Metro Area","88,830","88,847","88,895","88,899","89,137","88,199","87,177","86,705","85,644","84,736","83,935","83,456"
".El Paso, TX Metro Area","804,123","804,109","807,048","823,308","835,667","834,203","837,089","835,439","839,203","842,005","841,613","844,124"
".Enid, OK Metro Area","60,580","60,580","60,765","60,763","61,399","62,370","62,790","63,248","62,493","61,600","61,095","61,056"
".Erie, PA Metro Area","280,566","280,584","280,799","281,327","281,532","280,717","279,423","278,174","276,170","273,558","271,544","269,728"
".Eugene-Springfield, OR Metro Area","351,715","351,705","351,920","354,034","355,075","355,481","358,027","361,946","368,874","375,264","378,549","382,067"
".Evansville, IN-KY Metro Area","311,552","311,548","311,802","312,698","313,422","314,331","314,859","314,983","315,283","314,791","314,660","315,086"
".Fairbanks, AK Metro Area","97,581","97,585","98,264","98,120","100,311","100,933","99,254","99,636","100,633","99,675","98,565","96,849"
".Fargo, ND-MN Metro Area","208,777","208,777","209,455","213,222","217,610","223,360","227,790","232,891","237,244","241,511","244,311","246,145"
".Farmington, NM Metro Area","130,044","130,045","130,203","129,711","129,756","129,467","129,084","128,246","127,954","126,917","125,499","123,958"
".Fayetteville, NC Metro Area","481,061","481,011","490,446","499,149","502,672","509,180","510,635","511,976","516,822","517,527","522,461","526,719"
".Fayetteville-Springdale-Rogers, AR Metro Area","440,121","440,121","442,301","452,884","462,291","471,140","480,513","491,730","503,806","515,616","525,239","534,904"
".Flagstaff, AZ Metro Area","134,421","134,426","134,612","134,275","136,146","136,699","137,566","138,962","140,407","141,001","142,523","143,476"
".Flint, MI Metro Area","425,790","425,787","424,953","422,026","418,193","415,639","412,859","410,461","408,926","407,488","406,688","405,813"
".Florence, SC Metro Area","205,566","205,576","205,662","205,800","206,041","205,986","206,426","206,235","205,854","205,476","205,036","204,911"
".Florence-Muscle Shoals, AL Metro Area","147,137","147,137","147,261","147,146","147,232","147,230","147,462","146,876","146,922","147,259","147,608","147,970"
".Fond du Lac, WI Metro Area","101,633","101,623","101,576","101,810","101,788","101,787","101,977","101,955","102,211","102,417","103,001","103,403"
".Fort Collins, CO Metro Area","299,630","299,630","300,441","305,246","310,842","316,225","324,008","333,303","338,984","344,084","350,660","356,899"
".Fort Smith, AR-OK Metro Area","248,208","248,240","248,344","249,236","249,491","248,569","248,220","248,820","249,170","250,231","250,298","250,368"
".Fort Wayne, IN Metro Area","388,621","388,626","389,298","392,332","394,225","396,638","398,591","400,806","402,887","405,445","409,126","413,263"
".Fresno, CA Metro Area","930,450","930,507","932,039","939,406","945,045","951,514","960,567","969,488","976,830","985,238","991,950","999,101"
".Gadsden, AL Metro Area","104,430","104,429","104,459","104,369","104,278","103,884","103,399","102,998","102,855","103,007","102,611","102,268"
".Gainesville, FL Metro Area","305,076","305,076","305,334","306,979","308,240","308,865","311,743","316,031","321,418","324,485","327,933","329,128"
